,fecha_inicial,fecha_final,año_inicial,mes_inicial,dia_inicial,año_final,mes_final,dia_final,pais,ciudad,categoria_principal,categoria,proyecto_featured,descripcion_largo,descripcion_full_largo,titulo_largo,cant_creaciones_dueño,cant_faqs,cant_imagenes,cant_videos,cant_tiers,tier_promedio,tier_max,tier_min,duracion,moneda,objetivo_monto,objetivo_ratio,title,cotizacion,moneda_igual_pais,dia_semana_inicial,dia_semana_final,weekend_inicial,weekend_final,primera_quincena_inicial,primera_quincena_final,id,monto_obtenido,monto_obtenido_porcentaje,estado,exito
22,2019-02-28,2019-04-15,2019,2,28,2019,4,15,Spain,Jaen,Photography,Photobooks,0,59,2276,30,1,0,1,0,5,38.894634,113.727,1.13727,46,EUR,1705.905,42.1755343336957,Japan Clues of graphic design.,1.13727,1,jueves,lunes,0,0,0,0,4880,192.19863,0.1127,Funding Unsuccessful,fail
23,2019-02-06,2019-03-08,2019,2,6,2019,3,8,Canada,Vancouver,Technology,Software,0,134,3835,58,1,0,2,1,1,50.0,50.0,50.0,30,USD,20000.0,666.666666666667,Unique Music business platform for Indie Artists and Bands,1.0,0,miércoles,viernes,0,0,1,1,615,152.0,0.0076,Funding Unsuccessful,fail
24,2018-12-08,2019-02-06,2018,12,8,2019,2,6,Italy,Italia,Crafts,Woodworking,0,126,1547,52,1,0,0,1,3,770.213126666667,1707.369,34.14738,60,EUR,11382.46,215.933992752667,"Not to forget the ""ladies of the sea"". Classic Boats",1.1382459999999999,1,sábado,miércoles,1,0,1,1,2386,14.797198000000002,0.0013,Funding Unsuccessful,fail
25,2019-01-12,2019-02-11,2019,1,12,2019,2,11,United States,Los Angeles,Food,Food Trucks,0,131,0,52,1,0,1,0,1,100.0,100.0,100.0,30,USD,30000.0,1000.0,"Seoul Street Co, Korean Food w/ Flair...Needs Wheels",1.0,1,sábado,lunes,1,0,1,1,1891,12.0,0.0004,Funding Unsuccessful,fail
26,2019-04-05,2019-05-05,2019,4,5,2019,5,5,United States,Pittsburg,Art,Art,0,113,9113,60,1,2,36,0,18,59.77777777777779,165.0,1.0,30,USD,300.0,10.0,Guardian Constellations - A Magical Girl Inspired Pin Series,1.0,1,viernes,domingo,0,1,1,1,212,20413.0,68.0433,Funding Successful,success
27,2019-02-22,2019-04-23,2019,2,22,2019,4,23,United States,Los Angeles,Music,Music,0,51,874,13,1,0,1,1,4,46.25,100.0,10.0,60,USD,1000.0,16.6666666666667,The Mercenary,1.0,1,viernes,martes,0,0,0,0,3672,1.0,0.001,Funding Unsuccessful,fail
28,2019-02-28,2019-03-31,2019,2,28,2019,3,31,Singapore,Singapore,Film & Video,Film & Video,0,135,6163,53,1,3,11,1,6,399.666666666667,999.0,14.0,31,USD,20000.0,645.1612903225811,3D Rendering for VFX & Games - Ultimate Online Course,1.0,0,jueves,domingo,0,1,0,0,6604,28223.0,1.4111,Funding Successful,success
29,2019-01-07,2019-02-06,2019,1,7,2019,2,6,France,Paris,Art,Art,0,61,1274,34,1,0,10,0,7,46.899914285714296,137.748,1.1479,30,EUR,344.37,13.176744099999999,Queer Witch Enamel Pins - Make/100,1.1479,1,lunes,miércoles,0,0,1,1,2423,943.5738,2.74,Funding Successful,success
30,2019-04-03,2019-05-03,2019,4,3,2019,5,3,United Kingdom,Leeds,Theater,Festivals,0,113,1105,35,1,0,4,1,4,15.1519975,39.52695,1.3175649999999999,30,GBP,658.7825,28.932958820416697,Reading Gaol: Film Festival Funding,1.3175649999999999,1,miércoles,viernes,0,0,1,1,2880,736.518835,1.1179999999999999,Funding Successful,success
31,2019-01-07,2019-02-06,2019,1,7,2019,2,6,Hong Kong,Hong Kong,Technology,Hardware,0,50,10232,33,1,0,106,1,5,242.273808,496.4418,1.2762,30,HKD,49771.8,211.7292372,"ACOOL: Car Ventilator, Redefined.",0.12762,1,lunes,miércoles,0,0,1,1,2443,6187.0176,0.1243,Funding Unsuccessful,fail
32,2019-02-13,2019-04-14,2019,2,13,2019,4,14,Canada,Montreal,Food,Restaurants,0,34,190,21,1,0,0,1,3,501.666666666667,1000.0,5.0,60,USD,10000.0,166.666666666667,For a Hollywood final,1.0,0,miércoles,domingo,0,1,1,1,4978,7.0,0.0007,Funding Unsuccessful,fail
33,2019-03-18,2019-04-17,2019,3,18,2019,4,17,United States,Seattle,Publishing,Publishing,0,129,1922,34,1,0,5,1,5,53.0,100.0,10.0,30,USD,3000.0,100.0,The Doggone Travel+Adventure Guide,1.0,1,lunes,miércoles,0,0,0,0,4482,3530.0,1.1767,Funding Successful,success
34,2019-03-04,2019-03-13,2019,3,4,2019,3,13,United States,Dallas,Photography,Photography,0,56,3647,48,3,0,13,1,2,27.0,49.0,5.0,9,USD,147.0,16.3333333333333,Pinorama 100: 35MM Pinhole Camera - Quickstarter,1.0,1,lunes,miércoles,0,0,1,1,5236,1.0,0.0068,Cancelled by Creator,fail
35,2019-01-11,2019-02-10,2019,1,11,2019,2,10,United States,Charleston,Games,Tabletop Games,0,71,3392,60,1,0,13,0,3,20.3333333333333,50.0,1.0,30,USD,2500.0,83.3333333333333,The Bone Marshes: A Hex-Mapping Adventure About Getting Lost,1.0,1,viernes,domingo,0,1,1,1,2241,3728.0,1.4912,Funding Successful,success
36,2019-03-04,2019-05-03,2019,3,4,2019,5,3,United Kingdom,Huddersfield,Film & Video,Animation,0,132,1766,8,1,0,1,0,4,98.836125,197.67225,32.945375,60,GBP,3294.5375,72.35984892604169,Up north,1.317815,1,lunes,viernes,0,0,1,1,2890,1.317815,0.0004,Funding Unsuccessful,fail
37,2019-01-22,2019-03-11,2019,1,22,2019,3,11,Canada,Vancouver,Design,Design,0,117,7695,59,1,7,38,1,10,155.4,550.0,5.0,48,USD,50000.0,1041.66666666667,Boxscoop 2.0: The World's Fastest Cleaning Cat Litter 'Box',1.0,0,martes,lunes,0,0,0,1,402,210377.0,4.2075,Funding Successful,success
38,2019-03-25,2019-04-17,2019,3,25,2019,4,17,Australia,Sydney,Art,Art,0,117,4761,17,1,0,29,1,7,42.1428571428571,100.0,1.0,23,USD,300.0,13.0434782608696,Creative Trio Set,1.0,0,lunes,miércoles,0,0,0,0,4436,33.0,0.11,Cancelled by Creator,fail
39,2019-03-06,2019-04-05,2019,3,6,2019,4,5,United States,Minneapolis,Art,Art,0,69,50,12,1,1,6,0,19,81.10526315789471,170.0,3.0,30,USD,600.0,20.0,RPG Kit Pins,1.0,1,miércoles,viernes,0,0,1,1,6949,3460.0,5.7667,Funding Successful,success
40,2019-02-01,2019-03-03,2019,2,1,2019,3,3,United States,Provo,Film & Video,Film & Video,0,76,1838,39,3,0,4,1,7,901.571428571429,5000.0,1.0,30,USD,5000.0,166.666666666667,The Unexpected Race starring Jack Black,1.0,1,viernes,domingo,0,1,1,1,742,681.0,0.1362,Funding Unsuccessful,fail
41,2019-03-27,2019-04-26,2019,3,27,2019,4,26,Italy,Rome,Games,Video Games,0,44,1708,23,1,0,14,1,5,55.580681000000006,168.76725,2.2502299999999997,30,EUR,281278.75,10549.031360208299,Marvel heroes omega 2.0,1.1251149999999999,1,miércoles,viernes,0,0,0,0,3323,577.183995,0.0021,Cancelled by Creator,fail
42,2018-12-26,2019-02-14,2018,12,26,2019,2,14,Spain,España,Art,Illustration,0,117,7706,33,1,0,17,1,11,77.8703781818182,284.01,4.54416,50,EUR,1817.664,41.2987802112,Girltober: Mujeres en la historia,1.13604,1,miércoles,jueves,0,0,0,1,1988,1272.3648,0.7,Funding Unsuccessful,fail
43,2019-01-07,2019-02-08,2019,1,7,2019,2,8,United States,Portland,Publishing,Publishing,1,107,2404,21,1,4,6,1,9,242.77777777777803,750.0,5.0,32,USD,7000.0,218.75,A Haggadah of Our Own,1.0,1,lunes,viernes,0,0,1,1,2592,7197.0,1.0281,Funding Successful,success
44,2019-01-28,2019-02-05,2019,1,28,2019,2,5,United States,Las Vegas,Comics,Comic Books,0,127,294,21,1,0,18,1,8,71.0,299.0,10.0,8,USD,199.0,24.875,HOLLOW GIRL: BEHEMOTH,1.0,1,lunes,martes,0,0,0,1,2312,1670.0,8.392000000000001,Funding Successful,success
45,2019-03-29,2019-04-28,2019,3,29,2019,4,28,Israel,Tel Aviv,Food,Spaces,0,107,1784,30,1,0,4,1,10,772.0435200000001,2705.76,4.5096,30,JPY,27057.6,8.134596864,Sushi Meetup Space in Tel Aviv,0.009019200000000002,0,viernes,domingo,0,1,0,0,3606,415.86629280000005,0.0154,Funding Unsuccessful,fail
46,2019-01-18,2019-02-08,2019,1,18,2019,2,8,United States,New Haven,Journalism,Print,1,61,1542,37,1,0,1,0,5,215.0,500.0,50.0,21,USD,4000.0,190.47619047619,The Yale Herald New Year's Fundraiser,1.0,1,viernes,viernes,0,0,0,1,2600,4006.0,1.0015,Funding Successful,success
47,2019-03-05,2019-04-04,2019,3,5,2019,4,4,Mexico,Mexico,Theater,Festivals,0,135,0,52,1,0,17,1,8,219.35355,778.77,5.1918,30,MXN,5191.8,8.98492908,Primer Torneo Regional de Acariciamiento de Perritos,0.05191799999999999,1,martes,jueves,0,0,1,1,7140,190.487142,0.0367,Funding Unsuccessful,fail
48,2018-12-12,2019-02-10,2018,12,12,2019,2,10,United States,Stevens Point,Photography,Nature,0,66,1854,13,1,0,3,1,5,62.0,125.0,5.0,60,USD,8000.0,133.333333333333,Country Roads,1.0,1,miércoles,domingo,0,1,1,1,2142,101.0,0.0126,Funding Unsuccessful,fail
49,2019-04-02,2019-04-27,2019,4,2,2019,4,27,United States,New York,Publishing,Zines,1,109,1239,21,1,0,9,1,8,213.25,1000.0,1.0,25,USD,2500.0,100.0,BRUNCH CLUB: Issue 01,1.0,1,martes,sábado,0,1,1,0,3560,2757.0,1.1028,Funding Successful,success
50,2019-02-05,2019-04-06,2019,2,5,2019,4,6,United States,Austin,Design,Product Design,0,121,3620,44,1,0,64,3,3,133.0,199.0,80.0,60,USD,20000.0,333.33333333333303,"Renzoe Box - No More Messy Makeup Bag, Ever.",1.0,1,martes,sábado,0,1,1,1,7047,1256.0,0.0628,Cancelled by Creator,fail
51,2019-02-21,2019-03-23,2019,2,21,2019,3,23,United Kingdom,Liverpool,Comics,Graphic Novels,0,69,3589,10,1,1,10,1,5,74.328,260.8,6.52,30,GBP,652.0,28.340266666666697,The Hammer,1.304,1,jueves,sábado,0,1,0,0,6028,4337.104,6.652,Funding Successful,success
52,2019-01-30,2019-02-22,2019,1,30,2019,2,22,United States,Salt Lake City,Games,Tabletop Games,0,106,7003,35,1,8,21,1,6,73.5,121.0,30.0,23,USD,30000.0,1304.34782608696,Yokohama Duel - Deluxified™ Edition,1.0,1,miércoles,viernes,0,0,0,0,1517,221582.0,7.3861,Funding Successful,success
53,2019-02-25,2019-03-27,2019,2,25,2019,3,27,United States,Council Bluffs,Publishing,Fiction,0,64,5116,43,1,0,4,1,10,93.2,500.0,2.0,30,USD,1750.0,58.3333333333333,Trail of Pyres: Sundering the Gods Book Two,1.0,1,lunes,miércoles,0,0,0,0,6295,63.0,0.036000000000000004,Funding Unsuccessful,fail
54,2019-02-22,2019-03-24,2019,2,22,2019,3,24,United States,Huntsville,Crafts,Woodworking,0,27,2188,27,1,0,1,0,4,59.25,155.0,15.0,30,USD,500.0,16.6666666666667,Make 100 Safer BBQ Scrapers,1.0,1,viernes,domingo,0,1,0,0,6131,86.0,0.172,Cancelled by Creator,fail
55,2018-12-12,2019-02-10,2018,12,12,2019,2,10,United Kingdom,Chelmsford,Music,Pop,0,133,680,37,2,0,0,1,6,41.03905,75.7644,12.6274,60,GBP,631.37,13.287602563333301,"Joseph Morris: Debut EP titled ""LOVE""",1.26274,1,miércoles,domingo,0,1,1,1,2289,243.70882000000003,0.386,Funding Unsuccessful,fail
56,2019-03-01,2019-03-31,2019,3,1,2019,3,31,United Kingdom,London,Film & Video,Horror,0,128,6000,33,1,0,16,1,8,320.31825,1320.9,6.6045,30,GBP,7925.4,348.95536200000004,BLACK MASS - a Gothic Horror film,1.3209,1,viernes,domingo,0,1,1,0,6563,13548.4713,1.7095,Funding Successful,success
57,2019-03-06,2019-04-05,2019,3,6,2019,4,5,United States,Ann Arbor,Fashion,Accessories,0,134,1888,39,1,0,16,0,8,11.5,24.0,3.0,30,USD,300.0,10.0,Queer Pride Iron-On Embroidered Patches,1.0,1,miércoles,viernes,0,0,1,1,7026,313.0,1.0433,Funding Successful,success
58,2019-01-15,2019-02-14,2019,1,15,2019,2,14,France,Toulouse,Games,Video Games,1,135,3421,60,1,4,17,1,7,997.571828571429,5706.0,1.1412,30,EUR,17118.0,651.16872,Third Editions: The Ultimate Gaming Library - Kingdom Hearts,1.1412,1,martes,jueves,0,0,0,1,2029,34181.2224,1.9968,Funding Successful,success
59,2019-03-18,2019-04-27,2019,3,18,2019,4,27,France,Toulouse,Games,Video Games,0,128,6584,31,1,0,46,2,15,581.377960333333,3400.755,1.133585,40,EUR,7935.095,224.877616639375,Spellcaster University (Reboot),1.133585,1,lunes,sábado,0,1,0,0,3507,12589.59501,1.5866,Funding Successful,success
60,2019-01-11,2019-02-10,2019,1,11,2019,2,10,Puerto Rico,San Juan,Dance,Performances,1,117,3850,28,1,0,3,1,7,276.428571428571,1000.0,10.0,30,USD,1600.0,53.3333333333333,WanderlustDance: Puerto Rico,1.0,0,viernes,domingo,0,1,1,1,2124,1822.0,1.1388,Funding Successful,success
61,2019-01-26,2019-02-07,2019,1,26,2019,2,7,Canada,Vancouver,Art,Illustration,0,67,1059,31,1,0,4,0,5,25.8,40.0,15.0,12,USD,1000.0,83.3333333333333,Cardcaptor Sakura Dreamcatchers,1.0,0,sábado,jueves,1,0,0,1,2518,1523.0,1.5230000000000001,Funding Successful,success
62,2018-12-14,2019-02-12,2018,12,14,2019,2,12,France,Bourg-en-Bresse,Games,Gaming Hardware,0,115,2096,51,1,6,83,1,12,191.764833333333,441.01199999999994,33.924,60,EUR,339.24,6.3935432,Road to collapse - Modern & post apo scenery (.stl),1.1308,1,viernes,martes,0,0,1,1,1928,4830.7776,14.24,Funding Successful,success
63,2019-01-04,2019-02-09,2019,1,4,2019,2,9,United States,Paris,Publishing,Fiction,1,132,3976,55,1,0,1,1,6,32.6666666666667,100.0,1.0,36,USD,1000.0,27.7777777777778,The Brotherhood: Book One in the Eirensgarth Chronicles,1.0,1,viernes,sábado,0,1,1,1,2323,5377.0,5.377000000000001,Funding Successful,success
64,2019-03-07,2019-04-06,2019,3,7,2019,4,6,United Kingdom,Guildford,Games,Tabletop Games,0,133,3148,30,1,0,8,0,12,17.4506666666667,35.3376,6.544,30,GBP,327.2,14.274645333333302,28mm scale Orc Defence Turrets,1.3088,1,jueves,sábado,0,1,1,1,7069,348.1408,1.064,Funding Successful,success
65,2019-02-16,2019-03-18,2019,2,16,2019,3,18,United States,Pueblo,Film & Video,Drama,0,112,3344,42,1,0,5,1,8,865.625,5000.0,5.0,30,USD,5000.0,166.666666666667,"""Singularities"": A road to making CO films",1.0,1,sábado,lunes,1,0,0,0,5470,5045.0,1.0090000000000001,Funding Successful,success
66,2019-02-26,2019-03-31,2019,2,26,2019,3,31,United States,Boston,Food,Food,0,130,6912,58,2,0,18,1,5,51.4,114.0,1.0,33,USD,150000.0,4545.4545454545505,CRUNCHYTOP. Air fryer reinvented. Save your counter space.,1.0,1,martes,domingo,0,1,0,0,6558,1428.0,0.0095,Cancelled by Creator,fail
67,2019-02-18,2019-03-20,2019,2,18,2019,3,20,United States,Rochester,Food,Drinks,0,86,5669,33,1,0,1,1,3,93.3333333333333,160.0,40.0,30,USD,25000.0,833.333333333333,Crafting a Healthier Way To Drink,1.0,1,lunes,miércoles,0,0,0,0,5847,6.0,0.0002,Funding Unsuccessful,fail
68,2019-02-25,2019-04-10,2019,2,25,2019,4,10,United States,Des Moines,Comics,Comic Books,0,124,3639,13,1,0,17,1,12,85.8333333333333,250.0,5.0,44,USD,4300.0,97.7272727272727,Datura #1 & 2,1.0,1,lunes,miércoles,0,0,0,1,7409,5287.0,1.2295,Funding Successful,success
69,2019-03-29,2019-04-29,2019,3,29,2019,4,29,United States,Menasha,Games,Tabletop Games,0,97,15609,22,1,0,14,0,13,154.0,600.0,1.0,31,USD,14000.0,451.61290322580595,Fellowship 2nd Edition,1.0,1,viernes,lunes,0,0,0,0,3166,24654.0,1.761,Funding Successful,success
70,2019-02-06,2019-03-23,2019,2,6,2019,3,23,United States,Houston,Fashion,Apparel,0,104,670,37,1,0,1,0,5,315.0,1000.0,25.0,45,USD,10000.0,222.22222222222197,Pure Reign Clothing - Mens Streetwear,1.0,1,miércoles,sábado,0,1,1,0,6023,1.0,0.0001,Cancelled by Creator,fail
71,2019-01-15,2019-02-13,2019,1,15,2019,2,13,United States,Tyler,Fashion,Accessories,0,129,2357,60,1,0,29,1,5,44.6,120.0,1.0,29,USD,650.0,22.4137931034483,Fantasy Dragon RPG Role Playing Game Themed Soft Enamel Pins,1.0,1,martes,miércoles,0,0,0,1,1909,5726.0,8.8092,Funding Successful,success
72,2019-03-15,2019-04-14,2019,3,15,2019,4,14,United Kingdom,Birmingham,Publishing,Children's Books,0,103,4949,21,1,0,9,4,10,42.6764685,99.711375,2.65897,30,GBP,4919.0945,217.995411711083,The Humundo Sorterium,1.329485,1,viernes,domingo,0,1,0,1,4831,4948.34317,1.0059,Funding Successful,success
73,2019-03-08,2019-05-07,2019,3,8,2019,5,7,Australia,Sydney,Technology,DIY Electronics,0,125,2207,28,7,1,1,1,8,225.0,600.0,30.0,60,USD,7400.0,123.333333333333,Audio Injector - time master,1.0,0,viernes,martes,0,0,1,1,221,848.0,0.1146,Cancelled by Creator,fail
74,2019-02-24,2019-03-26,2019,2,24,2019,3,26,Hong Kong,Hong Kong,Design,Product Design,0,129,1266,40,1,4,9,1,2,15.16298,17.71138,12.61458,30,HKD,19113.0,81.179282,World's Smallest Hands-free Portable Fan,0.12742,1,domingo,martes,1,0,0,0,6246,876.52218,0.0459,Funding Unsuccessful,fail
75,2019-02-26,2019-03-26,2019,2,26,2019,3,26,United States,Westfield,Publishing,Radio & Podcasts,0,45,1262,8,1,0,4,1,7,145.0,500.0,10.0,28,USD,5000.0,178.57142857142898,Mirrored,1.0,1,martes,martes,0,0,0,0,6266,5117.0,1.0234,Funding Successful,success
76,2019-04-04,2019-05-02,2019,4,4,2019,5,2,Singapore,Singapore,Games,Tabletop Games,0,63,1560,21,1,0,13,1,3,22.3333333333333,35.0,7.0,28,USD,10000.0,357.142857142857,Into The Dragonlands!,1.0,0,jueves,jueves,0,0,1,1,2845,7.0,0.0007,Cancelled by Creator,fail
77,2019-04-09,2019-05-04,2019,4,9,2019,5,4,United States,Los Angeles,Film & Video,Narrative Film,1,130,10001,56,1,3,12,3,19,1139.47368421053,10000.0,5.0,25,USD,60000.0,2400.0,Dramarama - A feature film about high school drama nerds,1.0,1,martes,sábado,0,1,1,1,2982,62039.0,1.034,Funding Successful,success
78,2019-03-05,2019-03-27,2019,3,5,2019,3,27,United States,Brooklyn,Comics,Anthologies,1,102,3827,24,1,0,12,1,6,31.8333333333333,100.0,1.0,22,USD,1630.0,74.0909090909091,The Closet of Secrets #1,1.0,1,martes,miércoles,0,0,1,0,6355,3050.0,1.8712,Funding Successful,success
79,2019-03-11,2019-04-10,2019,3,11,2019,4,10,United States,Chattanooga,Music,Country & Folk,0,39,2744,18,1,0,1,1,9,297.777777777778,1000.0,10.0,30,USD,5000.0,166.666666666667,That Was Yesterday,1.0,1,lunes,miércoles,0,0,1,1,7393,5350.0,1.07,Funding Successful,success
80,2019-01-07,2019-02-27,2019,1,7,2019,2,27,Denmark,Copenhagen,Theater,Theater,0,129,1941,54,1,0,1,1,2,16.8645,22.486,11.243,51,SEK,787.01,1.7349712607843102,STØTTEARRANGEMENT FOR KUSSESUMPEN DEN 23. FEBRUAR 2019,0.11243,0,lunes,miércoles,0,0,1,0,1175,812.41918,1.0323,Funding Successful,success
